"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built","Published"
"ragg","ragg","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.5.2",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 02:35:06 UTC; windows",NA
"rappdirs","rappdirs","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.3.4",NA,"R (>= 4.1)",NA,NA,"covr, roxygen2, testthat (>= 3.2.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 00:58:58 UTC; windows",NA
"rcmdcheck","rcmdcheck","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 02:36:32 UTC; windows",NA
"RColorBrewer","RColorBrewer","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","R 4.6.0; ; 2026-04-21 00:40:53 UTC; windows",NA
"Rcpp","Rcpp","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.1.2",NA,"R (>= 3.5.0)","methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 01:01:16 UTC; windows",NA
"RcppArmadillo","RcppArmadillo","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","15.4.0-1",NA,"R (>= 3.3.0)","Rcpp (>= 1.1.1), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 01:58:25 UTC; windows",NA
"readr","readr","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","2.2.0",NA,"R (>= 4.1)","cli, clipr, crayon, glue, hms (>= 0.4.1), lifecycle, methods,
R6, rlang, tibble, utils, vroom (>= 1.7.0), withr","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.2.0), tzdb (>= 0.1.1), waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-18 03:56:59 UTC; windows",NA
"readxl","readxl","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.5.0",NA,"R (>= 4.1)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.5.5), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 03:22:09 UTC; windows",NA
"rematch","rematch","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","2.0.0",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-14 01:01:44 UTC; windows",NA
"rematch2","rematch2","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-18 03:33:30 UTC; windows",NA
"renv","renv","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.2.3",NA,NA,"utils",NA,"BiocManager, cli, compiler, covr, cpp11, curl, devtools,
generics, gitcreds, jsonlite, jsonvalidate, knitr, miniUI,
modules, packrat, pak, R6, remotes, reticulate, rmarkdown,
rstudioapi, shiny, testthat, uuid, waldo, yaml, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-07 01:10:29 UTC; windows",NA
"reprex","reprex","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","2.1.1",NA,"R (>= 3.6)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.2.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-18 03:33:30 UTC; windows",NA
"rjson","rjson","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.2.23",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:44:27 UTC; windows",NA
"rlang","rlang","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.3.0",NA,"R (>= 4.0.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, desc, fs, glue, knitr,
magrittr, methods, pillar, pkgload, rmarkdown, stats, testthat
(>= 3.3.2), tibble, usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 01:01:13 UTC; windows",NA
"rmarkdown","rmarkdown","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","2.31",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.43), methods, tinytex (>= 0.31), tools, utils, xfun (>=
0.36), yaml (>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, cleanrmd, withr (>= 2.4.2), xml2",NA,"GPL-3",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 02:59:22 UTC; windows",NA
"roxygen2","roxygen2","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","8.0.0",NA,"R (>= 4.1)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
lifecycle, methods, pkgload (>= 1.5.2), R6 (>= 2.1.2), rlang
(>= 1.1.0), utils, withr, xml2","cpp11","covr, R.methodsS3, S7, R.oo, rmarkdown (>= 2.16), testthat
(>= 3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 02:17:57 UTC; windows",NA
"rprojroot","rprojroot","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","2.1.1",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, rlang, rmarkdown, testthat (>=
3.2.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 01:00:40 UTC; windows",NA
"RSQLite","RSQLite","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","3.53.3",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.2.0), memoise, methods,
pkgconfig, rlang","cpp11 (>= 0.4.0)","callr, cli, DBItest (>= 1.8.0), decor, gert, gh, hms, httpuv,
knitr, magrittr, rmarkdown, rvest, testthat (>= 3.0.0), withr,
xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 02:38:54 UTC; windows",NA
"rstudioapi","rstudioapi","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.19.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr, curl, jsonlite, R6,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 00:59:27 UTC; windows",NA
"rversions","rversions","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","3.0.0",NA,NA,"curl",NA,"pillar, testthat (>= 3.0.0), webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 01:02:31 UTC; windows",NA
"rvest","rvest","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.0.5",NA,"R (>= 4.1)","cli, glue, httr (>= 0.5), lifecycle (>= 1.0.3), magrittr,
rlang (>= 1.1.0), selectr, tibble, xml2 (>= 1.4.0)",NA,"chromote, covr, knitr, purrr, R6, readr, repurrrsive,
rmarkdown, spelling, stringi (>= 0.3.1), testthat (>= 3.0.2),
tidyr, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-18 03:33:30 UTC; windows",NA
"S4Arrays","S4Arrays","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.12.0",NA,"R (>= 4.3.0), methods, Matrix, abind, BiocGenerics (>=
0.45.2), S4Vectors (>= 0.47.6), IRanges","stats","S4Vectors","BiocParallel, SparseArray (>= 0.0.4), DelayedArray,
HDF5Array, testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","R 4.6.0; x86_64-w64-mingw32; 2026-04-29 11:28:31 UTC; windows",NA
"S4Vectors","S4Vectors","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.50.1",NA,"R (>= 4.1.0), methods, utils, stats, stats4, BiocGenerics (>=
0.53.2)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle,
knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","R 4.6.0; x86_64-w64-mingw32; 2026-05-13 06:31:43 UTC; windows",NA
"S7","S7","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.2.2",NA,"R (>= 3.5.0)","utils",NA,"bench, callr, covr, knitr, methods, rmarkdown, testthat (>=
3.2.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 01:01:13 UTC; windows",NA
"sass","sass","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.4.10",NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 02:15:42 UTC; windows",NA
"scales","scales","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.4.0",NA,"R (>= 4.1)","cli, farver (>= 2.0.3), glue, labeling, lifecycle, R6,
RColorBrewer, rlang (>= 1.1.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-14 02:18:04 UTC; windows",NA
"selectr","selectr","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.6-0",NA,"R (>= 3.3)","R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-18 01:20:59 UTC; windows",NA
"Seqinfo","Seqinfo","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.2.0",NA,"methods, BiocGenerics","stats, S4Vectors (>= 0.47.6), IRanges",NA,"GenomeInfoDb, GenomicRanges, BSgenome, GenomicFeatures,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Hsapiens.UCSC.hg38, BSgenome.Celegans.UCSC.ce2, RUnit,
knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","R 4.6.0; ; 2026-05-04 08:56:19 UTC; windows",NA
"sessioninfo","sessioninfo","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.2.4",NA,"R (>= 3.4)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, gh, reticulate, rmarkdown, testthat (>= 3.2.0),
withr",NA,"GPL-2",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 01:02:28 UTC; windows",NA
"shape","shape","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.4.6.1",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","R 4.6.0; ; 2026-04-21 00:41:08 UTC; windows",NA
"shiny","shiny","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.14.0",NA,"methods, R (>= 3.1.2)","bslib (>= 0.6.0), cachem (>= 1.1.0), cli, commonmark (>=
2.0.0), fastmap (>= 1.1.1), fontawesome (>= 0.4.0), glue (>=
1.3.2), grDevices, htmltools (>= 0.5.4), httpuv (>= 1.5.2),
jsonlite (>= 0.9.16), later (>= 1.0.0), lifecycle (>= 0.2.0),
mime (>= 0.3), otel, promises (>= 1.5.0), R6 (>= 2.0), rlang
(>= 0.4.10), sourcetools, tools, utils, withr, xtable",NA,"Cairo (>= 1.5-5), coro (>= 1.1.0), datasets, DT, dygraphs,
future, ggplot2, knitr (>= 1.6), magrittr, markdown, mirai,
otelsdk (>= 0.2.0), ragg, reactlog (>= 1.0.0), rmarkdown, sass,
shinytest2, showtext, testthat (>= 3.2.1), watcher, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 02:59:19 UTC; windows",NA
"snow","snow","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","R 4.6.0; ; 2026-04-21 00:41:25 UTC; windows",NA
"sourcetools","sourcetools","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.1.7-2",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 00:58:59 UTC; windows",NA
"SparseArray","SparseArray","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.12.2",NA,"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors (>= 0.43.2), S4Arrays (>=
1.11.1)","utils, stats, matrixStats, IRanges, XVector","S4Vectors, IRanges, XVector","HDF5Array, ExperimentHub, testthat, knitr, rmarkdown,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","R 4.6.0; x86_64-w64-mingw32; 2026-05-01 20:55:46 UTC; windows",NA
"statmod","statmod","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.5.2",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 00:59:28 UTC; windows",NA
"stringi","stringi","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.8.7",NA,"R (>= 3.4)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","R 4.6.0; x86_64-w64-mingw32; 2026-04-21 00:41:07 UTC; windows",NA
"stringr","stringr","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.6.0",NA,"R (>= 4.1.0)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",NA,"covr, dplyr, gt, htmltools, htmlwidgets, knitr, rmarkdown,
testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-14 02:38:17 UTC; windows",NA
"SummarizedExperiment","SummarizedExperiment","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.42.0",NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.61.4), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.51.3),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), Seqinfo, S4Arrays
(>= 1.1.1), DelayedArray (>= 0.31.12)",NA,"GenomeInfoDb (>= 1.45.5), rhdf5, HDF5Array (>= 1.7.5),
annotate, AnnotationDbi, GenomicFeatures, SparseArray,
SingleCellExperiment, TxDb.Hsapiens.UCSC.hg19.knownGene,
hgu95av2.db, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown,
RUnit, testthat, digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","R 4.6.0; ; 2026-04-29 11:30:24 UTC; windows",NA
"sys","sys","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","3.4.3",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 01:01:15 UTC; windows",NA
"systemfonts","systemfonts","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.3.2",NA,"R (>= 3.2.0)","base64enc, grid, jsonlite, lifecycle, tools, utils","cpp11 (>= 0.2.1)","covr, farver, ggplot2, graphics, knitr, ragg, rmarkdown,
svglite, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 01:55:55 UTC; windows",NA
"testthat","testthat","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","3.3.2",NA,"R (>= 4.1.0)","brio (>= 1.1.5), callr (>= 3.7.6), cli (>= 3.6.5), desc (>=
1.4.3), evaluate (>= 1.0.4), jsonlite (>= 2.0.0), lifecycle (>=
1.0.4), magrittr (>= 2.0.3), methods, pkgload (>= 1.4.0),
praise (>= 1.0.0), processx (>= 3.8.6), ps (>= 1.9.1), R6 (>=
2.6.1), rlang (>= 1.1.6), utils, waldo (>= 0.6.2), withr (>=
3.0.2)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), digest (>=
0.6.33), gh, knitr, otel, otelsdk, rmarkdown, rstudioapi, S7,
shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 02:35:26 UTC; windows",NA
"textshaping","textshaping","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.0.5",NA,"R (>= 3.2.0)","lifecycle, stats, stringi, systemfonts (>= 1.3.0), utils","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, grDevices, grid, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 02:15:53 UTC; windows",NA
"tibble","tibble","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","3.3.1",NA,"R (>= 3.4.0)","cli, lifecycle (>= 1.0.0), magrittr, methods, pillar (>=
1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs (>= 0.5.0)",NA,"bench, bit64, blob, brio, callr, DiagrammeR, dplyr, evaluate,
formattable, ggplot2, here, hms, htmltools, knitr, lubridate,
nycflights13, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-07 03:09:10 UTC; windows",NA
